City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
143,Walvis Bay,NA,2021-06-25 15:23:50,-22.9575,14.5053,Clear,clear sky,72.55,46,0,12.66,0,0
144,Iqaluit,CA,2021-06-25 15:23:50,63.7506,-68.5145,Rain,light rain,37.13,86,90,13.0,0,0
145,Shirokiy,RU,2021-06-25 15:23:51,49.758,129.523,Clouds,few clouds,66.31,69,13,7.9,0,0
146,Nioro,GM,2021-06-25 15:23:51,13.35,-15.75,Clouds,overcast clouds,89.87,51,100,8.12,0,0
147,Longyearbyen,SJ,2021-06-25 15:23:51,78.2186,15.6401,Clouds,overcast clouds,37.24,87,90,6.91,0,0
148,Yellowknife,CA,2021-06-25 15:23:52,62.456,-114.3525,Clouds,broken clouds,63.12,59,75,6.91,0,0
149,Kutum,SD,2021-06-25 15:23:52,14.2,24.6667,Clouds,few clouds,95.5,12,24,14.2,0,0
150,Vestmannaeyjar,IS,2021-06-25 15:23:53,63.4427,-20.2734,Clouds,overcast clouds,50.99,87,90,18.41,0,0
151,Havre,FR,2021-06-25 15:23:53,49.5833,0.3333,Rain,light rain,61.48,94,75,9.22,0,0
152,Hofn,IS,2021-06-25 15:23:54,64.2539,-15.2082,Haze,haze,51.82,82,75,24.16,0,0
153,Mareeba,AU,2021-06-25 15:23:54,-17.0,145.4333,Clouds,overcast clouds,66.92,91,100,1.99,0,0
154,Eureka,US,2021-06-25 15:23:54,40.8021,-124.1637,Clouds,overcast clouds,58.19,92,95,1.68,0,0
155,Cape Town,ZA,2021-06-25 15:22:09,-33.9258,18.4232,Rain,heavy intensity rain,60.12,81,75,4.0,0,0
156,Mnogovershinnyy,RU,2021-06-25 15:23:55,53.9353,139.9242,Clouds,scattered clouds,44.42,90,36,1.92,0,0
157,Yeniseysk,RU,2021-06-25 15:14:57,58.4497,92.1703,Clouds,broken clouds,53.01,93,78,4.92,0,0
158,Tual,ID,2021-06-25 15:23:55,-5.6667,132.75,Clouds,scattered clouds,80.76,80,46,15.23,0,0
159,Sobolevo,RU,2021-06-25 15:23:56,54.4299,31.8996,Clouds,few clouds,86.56,64,24,6.11,0,0
160,Atrauli,IN,2021-06-25 15:23:56,28.0333,78.2833,Clouds,few clouds,98.89,19,18,6.46,0,0
161,East London,ZA,2021-06-25 15:23:56,-33.0153,27.9116,Clear,clear sky,65.34,82,0,9.22,0,0
162,Port Hedland,AU,2021-06-25 15:23:57,-20.3167,118.5667,Clouds,few clouds,55.45,54,18,10.36,0,0
163,Grand Gaube,MU,2021-06-25 15:23:57,-20.0064,57.6608,Clear,clear sky,73.38,63,7,5.01,0,0
164,Lompoc,US,2021-06-25 15:23:57,34.6391,-120.4579,Clouds,overcast clouds,67.57,82,90,0.0,0,0
165,Sitka,US,2021-06-25 15:23:57,57.0531,-135.33,Mist,mist,55.29,94,90,4.61,0,0
166,Kahului,US,2021-06-25 15:21:39,20.8947,-156.47,Clear,clear sky,72.84,82,1,5.75,0,0
